State
136313
24091
16215
13343
12851
11433
10754
10691
10587
10584
10205
9804
9504
9288
8640
8638
8296
8102
7828
7452
7236
7128
6978
6508
6167
6063
5972
5383
5016
4968
4922
4292
4212
3699
3162
2909
2484
2484
2268
1728
1620
1512
1502
1446
1395
1080
864
540
432
324
